sku,opc,queue_id,state_when_reported
251368045398,,,Awaiting OnBuy go-live (created earlier - listing not yet up
251459395326,,,Awaiting OnBuy go-live (created earlier - listing not yet up
251477918187,,,Awaiting OnBuy go-live (created earlier - listing not yet up
251941622947,,,Awaiting OnBuy go-live (created earlier - listing not yet up
252004125634,,,Awaiting OnBuy go-live (created earlier - listing not yet up
252660067224,,,Awaiting OnBuy go-live (created earlier - listing not yet up
253064075792,,,Awaiting OnBuy go-live (created earlier - listing not yet up
253784639014,,,Awaiting OnBuy go-live (created earlier - listing not yet up
254098446602,,,Awaiting OnBuy go-live (created earlier - listing not yet up
254369357422,,,Awaiting OnBuy go-live (created earlier - listing not yet up
256078821447,,,Awaiting OnBuy go-live (created earlier - listing not yet up
256199052171,,,Awaiting OnBuy go-live (created earlier - listing not yet up
257515810451,,,Awaiting OnBuy go-live (created earlier - listing not yet up
257589326148,PXGGPQV,,Awaiting OnBuy go-live (created earlier - listing not yet up
257746965128,,,Awaiting OnBuy go-live (created earlier - listing not yet up
258448831186,,,Awaiting OnBuy go-live (created earlier - listing not yet up
258789540525,,,Awaiting OnBuy go-live (created earlier - listing not yet up
259377508699,,,Awaiting OnBuy go-live (created earlier - listing not yet up
260328945173,,,Awaiting OnBuy go-live (created earlier - listing not yet up
318798125509,PXKYCZF,,Awaiting OnBuy go-live (created earlier - listing not yet up
275381389406,,,Awaiting OnBuy go-live (created earlier - listing not yet up
275645092479,,,Awaiting OnBuy go-live (created earlier - listing not yet up
275713042528,,,Awaiting OnBuy go-live (created earlier - listing not yet up
275764354212,,,Awaiting OnBuy go-live (created earlier - listing not yet up
276075558153,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277000024682,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277019820336,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277376468608,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277725521893,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277737628153,,,Awaiting OnBuy go-live (created earlier - listing not yet up
277747383882,,,Awaiting OnBuy go-live (created earlier - listing not yet up
280075973182,,,Awaiting OnBuy go-live (created earlier - listing not yet up
280451752677,,,Awaiting OnBuy go-live (created earlier - listing not yet up
280969941594,,,Awaiting OnBuy go-live (created earlier - listing not yet up
281205762485,,,Awaiting OnBuy go-live (created earlier - listing not yet up
